date, category, entityName, count, amount
2023-3Q,districts,hyderabad,371834420,505153023373.0
2023-3Q,districts,jaipur,342432937,452155901967.0
2023-3Q,districts,medchal malkajgiri,341559058,477958010169.0
2023-3Q,districts,visakhapatnam,209884966,328927220951.0
2023-3Q,districts,gurugram,188985975,179654213171.0
2023-3Q,districts,gautam buddha nagar,180450033,164910883457.0
2023-3Q,districts,thane,170404523,188843145118.0
2023-3Q,pincodes,500072,65847402,88142226984.0
2023-3Q,pincodes,560068,62632584,61263877641.0
2023-3Q,pincodes,560037,45865518,49216757881.0
2023-3Q,pincodes,201301,45155149,35368082651.0
2023-3Q,pincodes,500081,41403377,46841816235.0
2023-3Q,pincodes,560076,39572187,39693662048.0
2023-3Q,pincodes,560078,38275825,41125711463.0
2023-3Q,pincodes,500032,37909563,43121138159.0
2023-3Q,pincodes,560100,36711660,34628577402.0
2023-3Q,pincodes,411057,35730539,28470754620.0
2023-2Q,states,karnataka,2067867526,2777599098830.0
2023-2Q,states,maharashtra,2063717848,2606004606468.0
2023-2Q,states,telangana,1665430971,2698149935008.0
2023-2Q,states,andhra pradesh,1305656964,2506039086916.0
2023-2Q,states,uttar pradesh,1211410582,1836622076526.0
2023-2Q,states,rajasthan,1073459338,1698455586300.0
2023-2Q,states,madhya pradesh,848037060,1202440949508.0
2023-2Q,states,bihar,683933094,1226046745390.0
2023-2Q,states,west bengal,545317686,1009315106972.0
2023-2Q,states,odisha,544597829,799332054104.0
2023-2Q,districts,bengaluru urban,1124713207,1308665877658.0
2023-2Q,districts,pune,554427668,535801107518.0
2023-2Q,districts,rangareddy,384456496,561147925919.0
2023-2Q,districts,hyderabad,328016262,467328236325.0
2023-2Q,districts,medchal malkajgiri,296231089,434043629718.0
2023-2Q,districts,jaipur,291245541,414094307123.0
2023-2Q,districts,visakhapatnam,184918179,303874597259.0
2023-2Q,districts,gurugram,168827725,167788722810.0
2023-2Q,districts,gautam buddha nagar,157681545,150948217823.0
2023-2Q,districts,thane,155714593,178939371434.0
2023-2Q,pincodes,500072,58118143,80065833852.0
2023-2Q,pincodes,560068,54020876,54852308815.0
2023-2Q,pincodes,560037,41049027,45095955882.0
2023-2Q,pincodes,201301,40364243,33059188347.0
2023-2Q,pincodes,500081,37375003,43237645304.0
2023-2Q,pincodes,500032,34638820,39216208745.0
2023-2Q,pincodes,560076,34380780,35810435341.0
2023-2Q,pincodes,560078,33172774,37560041959.0
2023-2Q,pincodes,560100,31610913,30713650869.0
2023-2Q,pincodes,411057,30991776,24785623038.0
2023-1Q,states,maharashtra,1848268499,2362285906059.0
