state, date, registeredUsers, appOpens
chhattisgarh,2018-3Q,1217792,0
chhattisgarh,2018-2Q,950675,0
chhattisgarh,2018-1Q,679263,0
chhattisgarh,2020-4Q,4190601,109900467
chhattisgarh,2020-3Q,3799386,86918606
chhattisgarh,2020-2Q,3401658,68493384
chhattisgarh,2020-1Q,3016487,64224101
uttarakhand,2024-2Q,5395292,309932840
uttarakhand,2024-1Q,5202251,264812749
uttarakhand,2021-4Q,3460015,110928354
uttarakhand,2021-3Q,3233509,90886530
uttarakhand,2021-2Q,3004040,78380036
uttarakhand,2021-1Q,2802122,59282260
uttarakhand,2022-4Q,4272049,160685547
uttarakhand,2022-3Q,4081976,152803850
uttarakhand,2022-2Q,3877056,156465685
uttarakhand,2022-1Q,3674829,115224382
uttarakhand,2019-4Q,1752677,28853867
uttarakhand,2019-3Q,1585859,24660988
uttarakhand,2019-2Q,1414339,7454279
uttarakhand,2019-1Q,1224955,0
uttarakhand,2023-4Q,5001826,287470297
uttarakhand,2023-3Q,4829992,217340168
uttarakhand,2023-2Q,4645322,240804293
uttarakhand,2023-1Q,4464369,181738693
uttarakhand,2018-4Q,1012103,0
uttarakhand,2018-3Q,810612,0
uttarakhand,2018-2Q,649142,0
uttarakhand,2018-1Q,483043,0
uttarakhand,2020-4Q,2596244,52564888
uttarakhand,2020-3Q,2365438,40377348
uttarakhand,2020-2Q,2148567,31074793
uttarakhand,2020-1Q,1943606,32631265
punjab,2024-2Q,10677703,502438995
punjab,2024-1Q,10286964,448478973
punjab,2021-4Q,6880103,138427499
punjab,2021-3Q,6434862,107614155
punjab,2021-2Q,5976548,85894089
punjab,2021-1Q,5568777,81052268
punjab,2022-4Q,8462753,199899443
punjab,2022-3Q,8097582,154625731
punjab,2022-2Q,7702100,138965337
punjab,2022-1Q,7302726,117482807
punjab,2019-4Q,3321742,47673880
punjab,2019-3Q,2962713,40860886
punjab,2019-2Q,2600112,10928094
punjab,2019-1Q,2226590,0
punjab,2023-4Q,9898002,605806581
punjab,2023-3Q,9555997,337107656
punjab,2023-2Q,9197055,218492661
punjab,2023-1Q,8837408,177418342
punjab,2018-4Q,1865715,0
punjab,2018-3Q,1473148,0
punjab,2018-2Q,1152190,0
punjab,2018-1Q,847142,0
punjab,2020-4Q,5157868,71191183
punjab,2020-3Q,4694233,58946732
punjab,2020-2Q,4225481,51289576
punjab,2020-1Q,3739502,53853710
assam,2024-2Q,6767874,1728273868
assam,2024-1Q,6510156,1381009332
assam,2021-4Q,4209591,130600435
assam,2021-3Q,3918480,135288631
assam,2021-2Q,3617056,102003890
assam,2021-1Q,3358448,56752364
assam,2022-4Q,5247776,248781157
assam,2022-3Q,5016910,410760707
assam,2022-2Q,4755787,339929089
assam,2022-1Q,4492589,281642453
assam,2019-4Q,1941220,26599449
assam,2019-3Q,1731523,25393673
assam,2019-2Q,1500128,7350326
assam,2019-1Q,1259085,0
assam,2023-4Q,6234780,558041955
assam,2023-3Q,5998586,962849913
assam,2023-2Q,5749682,657069673
assam,2023-1Q,5499650,590176321
assam,2018-4Q,1039221,0
assam,2018-3Q,784802,0
assam,2018-2Q,571046,0
assam,2018-1Q,385237,0
assam,2020-4Q,3106153,49321814
assam,2020-3Q,2830011,41875278
assam,2020-2Q,2550883,39304924
assam,2020-1Q,2185938,33097892
haryana,2024-2Q,18932084,495253484
haryana,2024-1Q,18248263,356852975
haryana,2021-4Q,12116439,442176987
haryana,2021-3Q,11325336,296884105
haryana,2021-2Q,10530594,234052506
haryana,2021-1Q,9827905,266686683
haryana,2022-4Q,14994944,556898878
haryana,2022-3Q,14303933,265475161
haryana,2022-2Q,13576065,236091309
haryana,2022-1Q,12866988,217228467
haryana,2019-4Q,6366679,136721888
haryana,2019-3Q,5783752,118332587
haryana,2019-2Q,5178030,31929195
haryana,2019-1Q,4538767,0
haryana,2023-4Q,17556642,904482321
haryana,2023-3Q,16956489,327497074
haryana,2023-2Q,16314236,298037706
haryana,2023-1Q,15688161,264946266
haryana,2018-4Q,3793079,0
haryana,2018-3Q,3020398,0
haryana,2018-2Q,2447221,0
haryana,2018-1Q,1847357,0
haryana,2020-4Q,9129873,236101307
haryana,2020-3Q,8398816,188614769
haryana,2020-2Q,7682878,143650123
haryana,2020-1Q,7018770,157793468
arunachal-pradesh,2024-2Q,500669,132013837
arunachal-pradesh,2024-1Q,482393,143597043
arunachal-pradesh,2021-4Q,314944,11230295
arunachal-pradesh,2021-3Q,293073,17209654
arunachal-pradesh,2021-2Q,270572,13025849
arunachal-pradesh,2021-1Q,251240,4796708
arunachal-pradesh,2022-4Q,390307,21775038
arunachal-pradesh,2022-3Q,373372,59722628
arunachal-pradesh,2022-2Q,354528,49889518
arunachal-pradesh,2022-1Q,335339,41418559
arunachal-pradesh,2019-4Q,129321,2140340
arunachal-pradesh,2019-3Q,112149,1811700
arunachal-pradesh,2019-2Q,95885,502873
arunachal-pradesh,2019-1Q,76957,0
arunachal-pradesh,2023-4Q,462088,38873546
arunachal-pradesh,2023-3Q,444789,112236680
