date, registeredUsers, appOpens
2019-2Q,Others,16282,0.10267372934796318
2019-1Q,Xiaomi,34460,0.24521105513335043
2019-1Q,Vivo,27883,0.1984103264736857
2019-1Q,Samsung,25799,0.18358096376625965
2019-1Q,Oppo,15701,0.11172544331540148
2019-1Q,Realme,7762,0.0552329718498278
2019-1Q,Lenovo,3296,0.023453732957618195
2019-1Q,Motorola,3175,0.022592719096006603
2019-1Q,Apple,2928,0.020835112287592862
2019-1Q,Huawei,2510,0.017860700765661913
2019-1Q,OnePlus,2058,0.014644351464435146
2019-1Q,Others,14960,0.10645262289016025
2023-4Q,null,null,null
2023-3Q,null,null,null
2023-2Q,null,null,null
2023-1Q,null,null,null
2018-4Q,Xiaomi,28477,0.24441469045841166
2018-4Q,Vivo,22409,0.19233377106024324
2018-4Q,Samsung,21520,0.18470359021894928
2018-4Q,Oppo,12699,0.10899400056647011
2018-4Q,Realme,6489,0.0556943121250354
2018-4Q,Lenovo,2931,0.02515642299868682
2018-4Q,Motorola,2811,0.02412647732832093
2018-4Q,Apple,2546,0.021852013972929595
2018-4Q,Huawei,2029,0.017414664709769892
2018-4Q,OnePlus,1795,0.015406270652556411
2018-4Q,Others,12805,0.10990378590862665
2018-3Q,Xiaomi,22407,0.24327141259621962
2018-3Q,Samsung,17165,0.1863593429381046
2018-3Q,Vivo,16781,0.1821902786976017
2018-3Q,Oppo,9875,0.10721226399730747
2018-3Q,Realme,5100,0.05537038444417905
2018-3Q,Lenovo,2523,0.027392054892679166
2018-3Q,Motorola,2378,0.02581779886436427
2018-3Q,Apple,2146,0.02329898921906044
2018-3Q,OnePlus,1545,0.01677396940514836
2018-3Q,Huawei,1514,0.016437404323232763
2018-3Q,Others,10673,0.11587610062210256
2018-2Q,Xiaomi,17620,0.24657840969520559
2018-2Q,Samsung,13325,0.18647317305270228
2018-2Q,Vivo,12204,0.17078563631783705
2018-2Q,Oppo,7585,0.10614626773769208
2018-2Q,Realme,3991,0.05585098939237034
2018-2Q,Lenovo,2117,0.029625794172800805
2018-2Q,Motorola,1935,0.027078843516471215
2018-2Q,Apple,1812,0.025357552688292425
2018-2Q,OnePlus,1328,0.01858434325058076
2018-2Q,Huawei,1132,0.015841473312995045
2018-2Q,Others,8409,0.11767751686305242
2018-1Q,Xiaomi,12990,0.24390701866386272
2018-1Q,Samsung,10123,0.19007473055691163
2018-1Q,Vivo,8579,0.16108378084043712
2018-1Q,Oppo,5623,0.1055803822899846
2018-1Q,Realme,3008,0.05647977768598145
2018-1Q,Lenovo,1714,0.032182958428780654
2018-1Q,Motorola,1527,0.028671748845243906
2018-1Q,Apple,1436,0.02696308535806827
2018-1Q,OnePlus,1090,0.020466408802433438
2018-1Q,Micromax,847,0.015903713996019378
