state, date, name, count, amount
tamil-nadu,2022-3Q,thanjavur district,943,1270931.0
tamil-nadu,2022-3Q,madurai district,2580,3145380.0
tamil-nadu,2022-3Q,tiruvannamalai district,593,837249.0
tamil-nadu,2022-3Q,salem district,2209,2747178.0
tamil-nadu,2022-3Q,nagapattinam district,475,714624.0
tamil-nadu,2022-3Q,tirupathur district,450,615114.0
tamil-nadu,2022-3Q,ariyalur district,232,319274.0
tamil-nadu,2022-3Q,chennai district,12059,12069618.0
tamil-nadu,2022-3Q,the nilgiris district,366,638373.0
tamil-nadu,2022-3Q,erode district,1604,2050237.0
tamil-nadu,2022-3Q,karur district,445,559683.0
tamil-nadu,2022-3Q,kallakkurichi district,298,451963.0
tamil-nadu,2022-3Q,viluppuram district,584,947508.0
tamil-nadu,2022-3Q,pudukkottai district,282,411748.0
tamil-nadu,2022-3Q,perambalur district,117,203331.0
tamil-nadu,2022-3Q,coimbatore district,6704,8554497.0
tamil-nadu,2022-3Q,virudhunagar district,560,761911.0
tamil-nadu,2022-3Q,dindigul district,849,1326297.0
tamil-nadu,2022-3Q,sivaganga district,432,680435.0
tamil-nadu,2022-3Q,tenkasi district,377,570459.0
tamil-nadu,2022-3Q,chengalpattu district,6535,7905304.0
tamil-nadu,2022-3Q,kanniyakumari district,742,1186626.0
tamil-nadu,2022-3Q,tirunelveli district,821,1156720.0
tamil-nadu,2022-3Q,thiruvallur district,7766,8767762.0
tamil-nadu,2022-3Q,theni district,540,749102.0
tamil-nadu,2022-3Q,ranipet district,571,738713.0
tamil-nadu,2022-3Q,namakkal district,928,1271158.0
tamil-nadu,2022-3Q,vellore district,836,1401266.0
tamil-nadu,2022-3Q,thiruvarur district,338,512295.0
tamil-nadu,2022-2Q,tiruchirappalli district,1008,1443635.0
tamil-nadu,2022-2Q,ramanathapuram district,247,429895.0
tamil-nadu,2022-2Q,krishnagiri district,1589,2378328.0
tamil-nadu,2022-2Q,cuddalore district,582,924624.0
tamil-nadu,2022-2Q,kancheepuram district,3162,3846819.0
tamil-nadu,2022-2Q,tiruppur district,2124,2931960.0
tamil-nadu,2022-2Q,dharmapuri district,383,583844.0
tamil-nadu,2022-2Q,thoothukkudi district,427,681029.0
tamil-nadu,2022-2Q,thanjavur district,623,982120.0
tamil-nadu,2022-2Q,madurai district,1698,2180677.0
tamil-nadu,2022-2Q,tiruvannamalai district,385,584932.0
tamil-nadu,2022-2Q,salem district,1359,1934101.0
tamil-nadu,2022-2Q,nagapattinam district,291,571550.0
tamil-nadu,2022-2Q,tirupathur district,338,578309.0
tamil-nadu,2022-2Q,ariyalur district,131,189617.0
tamil-nadu,2022-2Q,chennai district,8966,9428379.0
tamil-nadu,2022-2Q,the nilgiris district,288,635126.0
tamil-nadu,2022-2Q,erode district,1095,1709224.0
tamil-nadu,2022-2Q,karur district,275,510904.0
tamil-nadu,2022-2Q,kallakkurichi district,198,353123.0
tamil-nadu,2022-2Q,viluppuram district,444,731447.0
tamil-nadu,2022-2Q,pudukkottai district,211,308306.0
tamil-nadu,2022-2Q,perambalur district,84,128671.0
tamil-nadu,2022-2Q,coimbatore district,4859,6626440.0
tamil-nadu,2022-2Q,virudhunagar district,395,570429.0
tamil-nadu,2022-2Q,dindigul district,641,1081508.0
tamil-nadu,2022-2Q,sivaganga district,297,508730.0
tamil-nadu,2022-2Q,tenkasi district,249,451084.0
tamil-nadu,2022-2Q,chengalpattu district,5135,6248146.0
tamil-nadu,2022-2Q,kanniyakumari district,603,995272.0
tamil-nadu,2022-2Q,tirunelveli district,602,929200.0
tamil-nadu,2022-2Q,thiruvallur district,5732,6846087.0
tamil-nadu,2022-2Q,theni district,409,641632.0
tamil-nadu,2022-2Q,ranipet district,341,543961.0
tamil-nadu,2022-2Q,namakkal district,729,985030.0
tamil-nadu,2022-2Q,vellore district,601,951426.0
tamil-nadu,2022-2Q,thiruvarur district,213,409555.0
tamil-nadu,2022-1Q,tiruchirappalli district,1034,1459109.0
tamil-nadu,2022-1Q,ramanathapuram district,220,366054.0
tamil-nadu,2022-1Q,krishnagiri district,1582,2435788.0
tamil-nadu,2022-1Q,cuddalore district,763,1249929.0
tamil-nadu,2022-1Q,kancheepuram district,3182,3910459.0
tamil-nadu,2022-1Q,tiruppur district,2393,3287882.0
tamil-nadu,2022-1Q,dharmapuri district,367,636107.0
tamil-nadu,2022-1Q,thoothukkudi district,482,833977.0
tamil-nadu,2022-1Q,thanjavur district,599,926904.0
tamil-nadu,2022-1Q,madurai district,1996,2487362.0
tamil-nadu,2022-1Q,tiruvannamalai district,494,792716.0
tamil-nadu,2022-1Q,salem district,1415,2147587.0
tamil-nadu,2022-1Q,nagapattinam district,333,574536.0
tamil-nadu,2022-1Q,tirupathur district,325,503152.0
tamil-nadu,2022-1Q,ariyalur district,183,276135.0
tamil-nadu,2022-1Q,chennai district,9138,9949256.0
tamil-nadu,2022-1Q,the nilgiris district,330,627279.0
tamil-nadu,2022-1Q,erode district,1139,1890815.0
tamil-nadu,2022-1Q,karur district,311,474739.0
tamil-nadu,2022-1Q,kallakkurichi district,268,483534.0
tamil-nadu,2022-1Q,viluppuram district,557,883618.0
tamil-nadu,2022-1Q,pudukkottai district,233,361402.0
tamil-nadu,2022-1Q,perambalur district,92,173486.0
tamil-nadu,2022-1Q,coimbatore district,4682,6798923.0
tamil-nadu,2022-1Q,virudhunagar district,423,633652.0
tamil-nadu,2022-1Q,dindigul district,619,1122922.0
tamil-nadu,2022-1Q,sivaganga district,304,499244.0
tamil-nadu,2022-1Q,tenkasi district,287,594379.0
tamil-nadu,2022-1Q,chengalpattu district,4588,5867983.0
tamil-nadu,2022-1Q,kanniyakumari district,552,1012992.0
tamil-nadu,2022-1Q,tirunelveli district,596,880850.0
tamil-nadu,2022-1Q,thiruvallur district,5793,7146597.0
tamil-nadu,2022-1Q,theni district,363,601250.0
tamil-nadu,2022-1Q,ranipet district,465,679825.0
tamil-nadu,2022-1Q,namakkal district,606,989125.0
tamil-nadu,2022-1Q,vellore district,653,1013919.0
tamil-nadu,2022-1Q,thiruvarur district,254,395558.0
tamil-nadu,2023-4Q,tiruchirappalli district,2475,3470880.0
tamil-nadu,2023-4Q,ramanathapuram district,517,640062.0
tamil-nadu,2023-4Q,krishnagiri district,3172,4852330.0
tamil-nadu,2023-4Q,cuddalore district,1551,2329665.0
